MonsterId,Attack,MaxHP,Defence,Critical,CriticalDamage,WalkSpeed
MON00001,5,10,5,1,5,0
MON00002,10,5,3,2,10,0
MON00101,5,10,5,1,5,0
MON00102,5,10,5,1,5,0
MON00103,5,10,5,1,5,0
MON00104,5,10,5,1,5,0
MON00105,5,10,5,1,5,0
MON00106,5,10,5,1,5,0
MON00107,5,10,5,1,5,0
MON00108,5,10,5,1,5,0
MON00109,5,10,5,1,5,0
MON00110,5,10,5,1,5,0
MON00111,5,10,5,1,5,0
MON00112,5,10,5,1,5,0
MON00113,5,10,5,1,5,0
MON00114,5,10,5,1,5,0
MON00115,5,10,5,1,5,0
MON00116,5,10,5,1,5,0
MON00117,5,10,5,1,5,0
MON00118,5,10,5,1,5,0
MON00119,5,10,5,1,5,0
MON00120,5,10,5,1,5,0
MON00121,5,10,5,1,5,0
MON00122,5,10,5,1,5,0
MON00123,5,10,5,1,5,0
MON00124,5,10,5,1,5,0
MON00125,5,10,5,1,5,0
MON00126,5,10,5,1,5,0
MON00127,5,10,5,1,5,0
MON00128,5,10,5,1,5,0
MON00129,5,10,5,1,5,0
MON00130,5,10,5,1,5,0
MON00131,5,10,5,1,5,0
MON00132,5,10,5,1,5,0
MON00133,5,10,5,1,5,0
MON00134,5,10,5,1,5,0
MON00135,5,10,5,1,5,0
MON00136,5,10,5,1,5,0
MON00137,5,10,5,1,5,0
MON00138,5,10,5,1,5,0
MON00139,5,10,5,1,5,0
MON00140,5,10,5,1,5,0
MON00141,5,10,5,1,5,0
MON00142,5,10,5,1,5,0
MON00143,5,10,5,1,5,0
MON00144,5,10,5,1,5,0
MON00145,5,10,5,1,5,0
MON00146,5,10,5,1,5,0
MON00147,5,10,5,1,5,0
MON00148,5,10,5,1,5,0
MON00149,5,10,5,1,5,0
MON00150,5,10,5,1,5,0
