MonsterId,Attack,MaxHP,Defence,Critical,CriticalDamage,WalkSpeed
MON00001,5,10,5,1,5,0
MON00002,10,5,3,2,10,0
MON00101,1,5,1,1,1,0
MON00102,1,5,1,1,1,0
MON00103,1,5,1,1,1,0
MON00104,1,5,1,1,1,0
MON00105,1,5,1,1,1,0
MON00106,1,5,1,1,1,0
MON00107,1,5,1,1,1,0
MON00108,1,5,1,1,1,0
MON00109,1,5,1,1,1,0
MON00110,1,5,1,1,1,0
MON00111,1,5,1,1,1,0
MON00112,1,5,1,1,1,0
MON00113,1,5,1,1,1,0
MON00114,1,5,1,1,1,0
MON00115,1,5,1,1,1,0
MON00116,1,5,1,1,1,0
MON00117,1,5,1,1,1,0
MON00118,1,5,1,1,1,0
MON00119,1,5,1,1,1,0
MON00120,1,5,1,1,1,0
MON00121,1,5,1,1,1,0
MON00122,1,5,1,1,1,0
MON00123,1,5,1,1,1,0
MON00124,1,5,1,1,1,0
MON00125,1,5,1,1,1,0
MON00126,1,5,1,1,1,0
MON00127,1,5,1,1,1,0
MON00128,1,5,1,1,1,0
MON00129,1,5,1,1,1,0
MON00130,1,5,1,1,1,0
MON00131,1,5,1,1,1,0
MON00132,1,5,1,1,1,0
MON00133,1,5,1,1,1,0
MON00134,1,5,1,1,1,0
MON00135,1,5,1,1,1,0
MON00136,1,5,1,1,1,0
MON00137,1,5,1,1,1,0
MON00138,1,5,1,1,1,0
MON00139,1,5,1,1,1,0
MON00140,1,5,1,1,1,0
MON00141,1,5,1,1,1,0
MON00142,1,5,1,1,1,0
MON00143,1,5,1,1,1,0
MON00144,1,5,1,1,1,0
MON00145,1,5,1,1,1,0
MON00146,1,5,1,1,1,0
MON00147,1,5,1,1,1,0
MON00148,1,5,1,1,1,0
MON00149,1,5,1,1,1,0
MON00150,1,5,1,1,1,0
