MonsterId,Attack,MaxHP,Defence,Critical,CriticalDamage,WalkSpeed
MON00001,10,10,5,5,5,0
MON00002,5,15,10,2,10,0
MON00101,15,5,3,7,10,0
MON00102,7,8,5,6,8,0
MON00103,4,3,20,3,4,0
MON00104,10,10,5,5,5,0
MON00105,10,10,5,5,5,0
MON00106,10,10,5,5,5,0
MON00107,10,10,5,5,5,0
MON00108,10,10,5,5,5,0
MON00109,10,10,5,5,5,0
MON00110,10,10,5,5,5,0
MON00111,10,10,5,5,5,0
MON00112,10,10,5,5,5,0
MON00113,10,10,5,5,5,0
MON00114,10,10,5,5,5,0
MON00115,10,10,5,5,5,0
MON00116,10,10,5,5,5,0
MON00117,10,10,5,5,5,0
MON00118,10,10,5,5,5,0
MON00119,10,10,5,5,5,0
MON00120,10,10,5,5,5,0
MON00121,10,10,5,5,5,0
MON00122,10,10,5,5,5,0
MON00123,10,10,5,5,5,0
MON00124,10,10,5,5,5,0
MON00125,10,10,5,5,5,0
MON00126,10,10,5,5,5,0
MON00127,10,10,5,5,5,0
MON00128,10,10,5,5,5,0
MON00129,10,10,5,5,5,0
MON00130,10,10,5,5,5,0
MON00131,10,10,5,5,5,0
MON00132,10,10,5,5,5,0
MON00133,10,10,5,5,5,0
MON00134,10,10,5,5,5,0
MON00135,10,10,5,5,5,0
MON00136,10,10,5,5,5,0
MON00137,10,10,5,5,5,0
MON00138,10,10,5,5,5,0
MON00139,10,10,5,5,5,0
MON00140,10,10,5,5,5,0
MON00141,10,10,5,5,5,0
MON00142,10,10,5,5,5,0
MON00143,10,10,5,5,5,0
MON00144,10,10,5,5,5,0
MON00145,10,10,5,5,5,0
MON00146,10,10,5,5,5,0
MON00147,10,10,5,5,5,0
MON00148,10,10,5,5,5,0
MON00149,10,10,5,5,5,0
MON00150,10,10,5,5,5,0
